time,open,high,low,close,Up Trend,Down Trend,EMA,EMA,Daily Pivot,Daily BC,Daily TC,Daily R1,Daily R2,Daily S1,Daily S2,Daily S3,Volume
2026-02-16T12:30:00+05:30,25576.95,25588.05,25572.15,25584.3,25524.017746270696,,25541.42321354414,25555.897068034225,25515.25,25493.175000000003,25537.324999999997,25586.2,25701.3,25400.15,25329.2,25214.100000000002,4370029
2026-02-16T12:35:00+05:30,25585.05,25590.9,25574.05,25574.6,25526.945971643625,,25544.582907492317,25559.63765442738,25515.25,25493.175000000003,25537.324999999997,25586.2,25701.3,25400.15,25329.2,25214.100000000002,4729959
2026-02-16T12:40:00+05:30,25575,25583.9,25572,25577.8,25526.945971643625,,25547.746440112096,25563.270123541904,25515.25,25493.175000000003,25537.324999999997,25586.2,25701.3,25400.15,25329.2,25214.100000000002,3061333
2026-02-16T12:45:00+05:30,25578.95,25582.35,25553.15,25554,25526.945971643625,,25548.34201724428,25561.416098833524,25515.25,25493.175000000003,25537.324999999997,25586.2,25701.3,25400.15,25329.2,25214.100000000002,2623342
2026-02-16T12:50:00+05:30,25554.8,25571.6,25553.15,25565.8,25526.945971643625,,25550.004682268634,25562.29287906682,25515.25,25493.175000000003,25537.324999999997,25586.2,25701.3,25400.15,25329.2,25214.100000000002,3220599
2026-02-16T12:55:00+05:30,25566.7,25573.65,25550.65,25556.85,25526.945971643625,,25550.656617290668,25561.204303253457,25515.25,25493.175000000003,25537.324999999997,25586.2,25701.3,25400.15,25329.2,25214.100000000002,2877788
2026-02-16T13:00:00+05:30,25556.6,25580.95,25555.2,25570.65,25526.945971643625,,25552.56074897727,25563.093442602767,25515.25,25493.175000000003,25537.324999999997,25586.2,25701.3,25400.15,25329.2,25214.100000000002,3878655
2026-02-16T13:05:00+05:30,25570.05,25578,25564.9,25576.85,25526.945971643625,,25554.874010979434,25565.844754082213,25515.25,25493.175000000003,25537.324999999997,25586.2,25701.3,25400.15,25329.2,25214.100000000002,3229630
2026-02-16T13:10:00+05:30,25576.2,25584.85,25570.9,25571.35,25526.945971643625,,25556.44315279092,25566.94580326577,25515.25,25493.175000000003,25537.324999999997,25586.2,25701.3,25400.15,25329.2,25214.100000000002,3345764
2026-02-16T13:15:00+05:30,25571.45,25575.55,25564.8,25567.95,25526.945971643625,,25557.539043001307,25567.146642612617,25515.25,25493.175000000003,25537.324999999997,25586.2,25701.3,25400.15,25329.2,25214.100000000002,3364040
2026-02-16T13:20:00+05:30,25566.75,25581,25564.35,25574.75,25526.945971643625,,25559.178181763087,25568.667314090093,25515.25,25493.175000000003,25537.324999999997,25586.2,25701.3,25400.15,25329.2,25214.100000000002,3029044
2026-02-16T13:25:00+05:30,25574.9,25584,25569,25581.7,25526.945971643625,,25561.323116833268,25571.273851272075,25515.25,25493.175000000003,25537.324999999997,25586.2,25701.3,25400.15,25329.2,25214.100000000002,3259497
2026-02-16T13:30:00+05:30,25582.4,25584.2,25566.35,25576.25,25526.945971643625,,25562.74472475391,25572.26908101766,25515.25,25493.175000000003,25537.324999999997,25586.2,25701.3,25400.15,25329.2,25214.100000000002,3781891
2026-02-16T13:35:00+05:30,25577.25,25593.15,25575.95,25590.15,25531.94125430864,,25565.354750967825,25575.84526481413,25515.25,25493.175000000003,25537.324999999997,25586.2,25701.3,25400.15,25329.2,25214.100000000002,2879414
2026-02-16T13:40:00+05:30,25590.6,25593.1,25583.9,25590.6,25538.392128877775,,25567.75906039946,25578.796211851302,25515.25,25493.175000000003,25537.324999999997,25586.2,25701.3,25400.15,25329.2,25214.100000000002,2312996
